id,sentence1,label
4559,Travelling by coach on a rather narrow and wet road .,fear
6345,"[ When bad and disgusting language is uttered by people , or when someone tries to show what is beyond his own capacities . ]",anger
48,"I experience a sense of guilt as my middle son cannot express himself like other children , neither verbally nor in writing .",guilt
5004,I was ashamed when my friend and I were cross with each other till we apologized to each other .,shame
677,My mother accused me of not visiting her enough when she was in hospital for an eye operation .,guilt
1262,After an event in which I felt that I had acted unfairly .,shame
4342,A party I went to last Christmas .,joy
3762,"When it suddenly appeared that our dog was dangerously ill and probably would die . We had not expected this because he was always very healthy . Fortunately he survived because we , in turn , gave him medicines during the night .",sadness
2077,"I felt guilty when I skipped a two hour practical class I knew I would miss out on more information which I did not know , but I couldn ' t cope with going .",guilt
5966,"Day before yesterday my mother bought me a new pair of shoes , without my having asked for them . She told me that when she saw the pair of shoes she felt like buying them for me . I really liked the shoes and they made me feel that my mother cares for me .",joy
2793,Sometimes I experience sadness for the Sports High School and for my unrealized dreams in the sport . Anyway there I spent six years of my life .,sadness
2389,My brother and I were at home watching a TV program when I started to tease him and in this joke I hurt him without knowing the seriousness of it I went on . He got angry and gave it back to me . At this moment I felt anger at him but knowing that it was my fault .,guilt
1975,When my rights to use a shared house had been usurped by co - owners out of pure selfishness .,anger
5657,When another fellow worker decided to leave the company . We had been very close and we would not be able to work with eachother any longer .,sadness
4896,When an argument with a friend of mine over our behaviour towards another friend turned into a quarrel . I lost my temper and nearly knocked him out .,anger
579,"Quite recently I realized that I had had some erroneous views about life . For instance , I had always lived for other people , had forgotten my own person and suppressed my own feelings . I was ashamed because I had not been concious of that until I had a conversation about it with a person .",shame
6823,It was when I discovered that my boyfriend had another girl . I discovered it through a letter he wrote to the girl when he was away . When I asked him he accepted it .,anger
6718,I was ashamed when I got the lowest result ( mark ) in class . All the same I didn ' t worry too much because I knew I would have got much better if I had read enough .,shame
6514,I felt disgusted when I went to one of the Central hospitals where my hope of getting good treatment was turned down by one of the doctors who said I was alright despite my feeling pain .,disgust
1249,[ I speak harshly to my parents though they only mean my own good . ],guilt
5790,I didn ' t do very well on a midterm and I ' m disgusted with myself because I was prepared and thought I did well .,disgust
7405,I had lunch in a restaurant with a friend and I paid the bill . The change was that of a two dollar and a ten cent coin . As I was talking with my friend I took the two dollar coin and forgot to leave a tip .,shame
7002,"Finding out that China is poor , so we cannot have good reference books .",sadness
4663,When I learnt that I was selected for form I .,joy
2227,As a child - stepping on a rusty nail - being told that I might get tetanus .,fear
5888,"When my parents - in - law scolded me , without any reason , in front of the other members of my family for the first time . They had called me from my room where I had been studying for my exams .",disgust
3502,When my girlfriend of two years told me it was all over .,anger
5673,I had just masterbated with another boy .,shame
1786,"When I was in a situation which seemed hopeless for me , I moved back to my parents . For my father it went without saying anything ( normally he ofter grumbles at me ) .",joy
4489,Waiting for my marks in a difficult subject .,fear
7195,Saw a classmate knocked down by a motorcycle .,fear
109,When someone makes advances that one does not want .,disgust
6107,[ I have not felt this emotion yet . ],fear
862,Getting to know that my uncle in America had a brain tumor .,sadness
4317,When they told me that my grandfather was rather ill .,sadness
3546,A piece of work was marked as bad by the teachers I and some fellow students didn ' t agree with their vague criticism . I felt myself taken in by the teachers and felt disgust .,disgust
2244,"I was sitting at a rock concert , listening to an extremely loud band . A tiny baby in a crawler had been left by his young mother , right out in the sun next to a speaker , and was screaming - probably in pain .",disgust
7017,Girls dressed like foreigners in the university .,disgust
2879,When I was admitted to the University .,joy
1468,Death of my grandmother .,sadness
